,num_layers_list,max_iters,num_samples_init,jump_iters,forward_kls,optimizer_methods,lrs,weight_decays,nfm_losses,price_estimates_NF,error_estimates_NF,price_estimates_classic,error_estimates_classic
78,16,1000,1024,100000,True,sgd,0.001,1e-06,"tensor(15.6708, grad_fn=<NegBackward0>)",7.383685878232449,0.4028213722681714,7.697739117028477,0.4834224683948266
79,16,1000,1024,100000,True,sgd,0.01,1e-06,,,,,
80,16,1000,2048,100000,False,adam,0.001,1e-06,,,,,
81,16,1000,2048,100000,False,adam,0.01,1e-06,,,,,
82,16,1000,2048,100000,False,sgd,0.001,1e-06,,,,,
83,16,1000,2048,100000,False,sgd,0.01,1e-06,,,,,
84,16,1000,2048,100000,True,adam,0.001,1e-06,,,,,
85,16,1000,2048,100000,True,adam,0.01,1e-06,,,,,
86,16,1000,2048,100000,True,sgd,0.001,1e-06,,,,,
87,16,1000,2048,100000,True,sgd,0.01,1e-06,,,,,
88,16,1000,4096,100000,False,adam,0.001,1e-06,,,,,
89,16,1000,4096,100000,False,adam,0.01,1e-06,,,,,
90,16,1000,4096,100000,False,sgd,0.001,1e-06,,,,,
91,16,1000,4096,100000,False,sgd,0.01,1e-06,,,,,
92,16,1000,4096,100000,True,adam,0.001,1e-06,,,,,
93,16,1000,4096,100000,True,adam,0.01,1e-06,,,,,
94,16,1000,4096,100000,True,sgd,0.001,1e-06,,,,,
95,16,1000,4096,100000,True,sgd,0.01,1e-06,,,,,
96,32,1000,128,100000,False,adam,0.001,1e-06,,,,,
97,32,1000,128,100000,False,adam,0.01,1e-06,,,,,
98,32,1000,128,100000,False,sgd,0.001,1e-06,,,,,
99,32,1000,128,100000,False,sgd,0.01,1e-06,,,,,
100,32,1000,128,100000,True,adam,0.001,1e-06,,,,,
101,32,1000,128,100000,True,adam,0.01,1e-06,,,,,
102,32,1000,128,100000,True,sgd,0.001,1e-06,,,,,
103,32,1000,128,100000,True,sgd,0.01,1e-06,,,,,
104,32,1000,256,100000,False,adam,0.001,1e-06,,,,,
105,32,1000,256,100000,False,adam,0.01,1e-06,,,,,
106,32,1000,256,100000,False,sgd,0.001,1e-06,,,,,
107,32,1000,256,100000,False,sgd,0.01,1e-06,,,,,
108,32,1000,256,100000,True,adam,0.001,1e-06,,,,,
109,32,1000,256,100000,True,adam,0.01,1e-06,,,,,
110,32,1000,256,100000,True,sgd,0.001,1e-06,,,,,
111,32,1000,256,100000,True,sgd,0.01,1e-06,,,,,
112,32,1000,512,100000,False,adam,0.001,1e-06,,,,,
113,32,1000,512,100000,False,adam,0.01,1e-06,,,,,
114,32,1000,512,100000,False,sgd,0.001,1e-06,,,,,
115,32,1000,512,100000,False,sgd,0.01,1e-06,,,,,
116,32,1000,512,100000,True,adam,0.001,1e-06,,,,,
117,32,1000,512,100000,True,adam,0.01,1e-06,,,,,
118,32,1000,512,100000,True,sgd,0.001,1e-06,,,,,
119,32,1000,512,100000,True,sgd,0.01,1e-06,,,,,
120,32,1000,1024,100000,False,adam,0.001,1e-06,,,,,
121,32,1000,1024,100000,False,adam,0.01,1e-06,,,,,
122,32,1000,1024,100000,False,sgd,0.001,1e-06,,,,,
123,32,1000,1024,100000,False,sgd,0.01,1e-06,,,,,
124,32,1000,1024,100000,True,adam,0.001,1e-06,,,,,
125,32,1000,1024,100000,True,adam,0.01,1e-06,,,,,
126,32,1000,1024,100000,True,sgd,0.001,1e-06,,,,,
127,32,1000,1024,100000,True,sgd,0.01,1e-06,,,,,
128,32,1000,2048,100000,False,adam,0.001,1e-06,,,,,
129,32,1000,2048,100000,False,adam,0.01,1e-06,,,,,
130,32,1000,2048,100000,False,sgd,0.001,1e-06,,,,,
131,32,1000,2048,100000,False,sgd,0.01,1e-06,,,,,
132,32,1000,2048,100000,True,adam,0.001,1e-06,,,,,
133,32,1000,2048,100000,True,adam,0.01,1e-06,,,,,
134,32,1000,2048,100000,True,sgd,0.001,1e-06,,,,,
135,32,1000,2048,100000,True,sgd,0.01,1e-06,,,,,
136,32,1000,4096,100000,False,adam,0.001,1e-06,,,,,
137,32,1000,4096,100000,False,adam,0.01,1e-06,,,,,
138,32,1000,4096,100000,False,sgd,0.001,1e-06,,,,,
139,32,1000,4096,100000,False,sgd,0.01,1e-06,,,,,
140,32,1000,4096,100000,True,adam,0.001,1e-06,,,,,
141,32,1000,4096,100000,True,adam,0.01,1e-06,,,,,
142,32,1000,4096,100000,True,sgd,0.001,1e-06,,,,,
143,32,1000,4096,100000,True,sgd,0.01,1e-06,,,,,
144,64,1000,128,100000,False,adam,0.001,1e-06,,,,,
145,64,1000,128,100000,False,adam,0.01,1e-06,,,,,
146,64,1000,128,100000,False,sgd,0.001,1e-06,,,,,
147,64,1000,128,100000,False,sgd,0.01,1e-06,,,,,
148,64,1000,128,100000,True,adam,0.001,1e-06,,,,,
149,64,1000,128,100000,True,adam,0.01,1e-06,,,,,
150,64,1000,128,100000,True,sgd,0.001,1e-06,,,,,
151,64,1000,128,100000,True,sgd,0.01,1e-06,,,,,
152,64,1000,256,100000,False,adam,0.001,1e-06,,,,,
153,64,1000,256,100000,False,adam,0.01,1e-06,,,,,
154,64,1000,256,100000,False,sgd,0.001,1e-06,,,,,
155,64,1000,256,100000,False,sgd,0.01,1e-06,,,,,
156,64,1000,256,100000,True,adam,0.001,1e-06,,,,,
157,64,1000,256,100000,True,adam,0.01,1e-06,,,,,
158,64,1000,256,100000,True,sgd,0.001,1e-06,,,,,
159,64,1000,256,100000,True,sgd,0.01,1e-06,,,,,
160,64,1000,512,100000,False,adam,0.001,1e-06,,,,,
161,64,1000,512,100000,False,adam,0.01,1e-06,,,,,
162,64,1000,512,100000,False,sgd,0.001,1e-06,,,,,
163,64,1000,512,100000,False,sgd,0.01,1e-06,,,,,
164,64,1000,512,100000,True,adam,0.001,1e-06,,,,,
165,64,1000,512,100000,True,adam,0.01,1e-06,,,,,
166,64,1000,512,100000,True,sgd,0.001,1e-06,,,,,
167,64,1000,512,100000,True,sgd,0.01,1e-06,,,,,
168,64,1000,1024,100000,False,adam,0.001,1e-06,,,,,
169,64,1000,1024,100000,False,adam,0.01,1e-06,,,,,
170,64,1000,1024,100000,False,sgd,0.001,1e-06,,,,,
171,64,1000,1024,100000,False,sgd,0.01,1e-06,,,,,
172,64,1000,1024,100000,True,adam,0.001,1e-06,,,,,
